Name,BoroCode,open_year_round,Latitude,Longitude,place_id
100% Playground,3,Yes,40.64659,-73.899055,ChIJNwvvtedcwokR-CqHxddTvE8
174th Street Playground,2,Yes,40.834343,-73.87774,ChIJ57ToBPL0wokRxzFXggPCB4s
Abe Lincoln,1,Yes,40.812313,-73.93727,ChIJ6-JT5nX2wokRusw1c8WFxug
Abigail Playground,2,No,40.81733,-73.90485,ChIJWSqXZbH1wokRaw3IAQd1Jj8
Agnes Haywood Playground,2,Yes,40.880398,-73.86157,ChIJpW5RhT7zwokR3An-ITLc6S4
Albemarle Park,3,Yes,40.646652,-73.96545400000002,ChIJxbshfDlbwokR22dAXr8_WnE
Albert J. Parham Playground,3,Yes,40.69023,-73.97106,ChIJs-2N3blbwokR3yds1DYFwiQ
Alexander Hamilton Playground,1,Yes,40.82303,-73.95132,ChIJKdd4W2T2wokRknKQeZy3ntk
Allerton Playground,2,Yes,40.865883,-73.85055,ChIJ2wWlS07zwokRdTu_0Sd5fTo
Alley Park (PS 213),4,Yes,40.76007,-73.770256,ChIJmzkJ0-BhwokRZqGFshqdkGU
Alley Pond Park,4,Yes,40.747314,-73.74296,ChIJzyx69P9hwokRMP73UTW2hTA
American Playground,3,Yes,40.72877,-73.95783,ChIJEZTfskFZwokRVRYWnMmva6s
Andrews Playground,4,No,40.74345,-73.95481,ChIJU0mtdiNZwokRYjOvi3aXWUE
Annandale Playground (PS 175),4,Yes,40.7311405,-73.85191800000003,ChIJt1ldh8RMtokREBjGDOcKq0A
Arcilla Playground,2,Yes,40.827145,-73.914215,ChIJnXHlozX0wokRcB-hofrRRZs
Arrochar Playground,5,Yes,40.597633,-74.07095,ChIJ6_gQYhtPwokRtKDQUJeoUcI
Asser Levy,1,Yes,40.735935,-73.97632,ChIJ3QWkiwxZwokRtSAA01kLa4s
Asser Levy Park,3,Yes,40.57506,-73.97162,ChIJJ6b4_0dEwokR3RI76Ea93dw
Astoria Heights Playground,4,Yes,40.76052,-73.91155,ChIJv4Qp7hVfwokRjWjp4AyKfdY
Astoria Park (Charybdis Playground),4,Yes,40.7792862,-73.9205912,ChIJi_uVCUR7k1QRv4obofFy3fc
Athens Sq (PS 17),4,Yes,40.7692191,-73.9229162,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic
Aubondale Playground,4,Yes,40.765858,-73.794205,ChIJycPVL9VhwokRdaLkrH1hdtM
Augustus St. Gaudens,1,Yes,40.73563,-73.98236,ChIJ_W0brgpZwokR4EJOoF2h260
Bailey Playground,2,Yes,40.881912,-73.900154,ChIJDXXquaLzwokRlaXt6kPefeo
Baisley Pond Park,4,Yes,40.675583,-73.78529,ChIJrQgf9NpmwokRPcrLDI42IHQ
Baisley Pond Park,4,Yes,40.675583,-73.78529,ChIJrQgf9NpmwokRPcrLDI42IHQ
Bartlett Playground,3,Yes,40.700893,-73.94608000000002,ChIJZVCvmfpbwokRjTZHGtAQnq8
Battery Park (Battery Gardens),1,Yes,40.70683,-74.01758000000002,ChIJ1cyukBFawokRyQ1BU3s-Z18
Bay Terrace Playground (PS 169),4,Yes,40.774334,-73.75071,EioxLTY5IFBhcmsgTGFuZSwgTGl0dGxlIE5lY2ssIE5ZIDExMzYzLCBVU0E
Bayside Fields,4,Yes,40.771008,-73.784966,ChIJa7eVMHqKwokRHo_RdIM-NN4
Bayside Playground (JHS 180),4,No,40.758556,-73.765434,ChIJvffyJeJhwokRnqmHtHkM_X4
Bayview Playground,3,Yes,40.63477,-73.88721,ChIJhQPCpiddwokRmBD51_EOUTk
Bedford Playground,3,Yes,40.70831,-73.964,ChIJzzZ1ot5bwokRJVqbnLf7f8s
Behagen Playground,2,Yes,40.82537,-73.90126,ChIJ73HKhE30wokRGjKFOTmG1B8
Bellaire Playground,4,Yes,40.72152,-73.7579,ChIJwV0SQHhhwokRzEFbhbM7FLw
Belmont Playground,2,Yes,40.85024600000001,-73.887665,ChIJvzbi4If0wokR0U_Jy88iXJs
Bendheim Playground,1,,40.790466,-73.95444499999998,ChIJvXbPp6BYwokR4qLYE8FWVbM
Bennett Park,1,Yes,40.852806,-73.938,ChIJTbE1MKf2wokRmmwnWT7_t4c
Benson Playground,3,Yes,40.602383,-74.00220999999998,ChIJ67VgtgtFwokRKPuk7AC_rRQ
Bensonhurst Park,3,Yes,40.59632,-74.00134,ChIJw8mHO6FFwokRcM0WpmQcNHQ
Big Bush Park,4,Yes,40.739506,-73.90273,ChIJv1jibuNewokRK0FqKaXtxAs
Bildersee Playground,3,Yes,40.63567000000001,-73.91167,ChIJQ254D8hcwokRQ6tw5TO4h74
Bleecker Playground,1,Yes,40.73622,-74.00559,ChIJUdQnJJVZwokRkAVt9JscnGg
Bloomingdale Park,5,,40.5334,-74.210594,ChIJnV9kHslKwokRPKUuDwlpPGA
Bloomingdale Playground,1,Yes,40.78851,-73.96643,ChIJifkMFpxYwokRXYDkgiFNh1E
Bowne Park,4,Yes,40.7705,-73.80771999999997,ChIJH9ghRp2KwokRUtHSD91Dbbg
Bowne Playground,4,Yes,40.757988,-73.824814,ChIJU-fJSBFgwokRaT0G-ov0_rw
Breininger Park,4,Yes,40.725845,-73.72903000000002,ChIJe2Ki3jZiwokRR9E0iBkH_lQ
Breukelen Playground,3,Yes,40.6514248,-73.89170390000002,ChIJt5thZINxxkcRA8KNLed51cg
Brevoort Playground,3,Yes,40.68046,-73.92263,ChIJFYXER25cwokRbInmyNLU2to
Bridge Park 2,3,Yes,40.696175,-73.9803,EiYyIFBhcmsgQXZlbnVlLCBCcm9va2x5biwgTlkgMTEyMDUsIFVTQQ
Broadway Malls,1,Yes,40.77235,-73.97159,ChIJx3g2ovJYwokRtkUlbWC4nE8
Bronx Park (Ben Abrams Playground),2,Yes,40.83705,-73.86543,ChIJBUEf6ovgwokRwlazSIxIpsk
Bronx Park (Brady Playground),2,Yes,40.83705,-73.86543,ChIJBUEf6ovgwokRwlazSIxIpsk
Bronx Park (French Charley's Playground),2,Yes,40.83705,-73.86543,ChIJBUEf6ovgwokRwlazSIxIpsk
Bronx Park (Olinville Playground),2,Yes,40.86049000000001,-73.87425,ChIJdYs5dWjzwokRagNsXYTMbog
Bronx Park (Ranaqua),2,Yes,40.806713,-73.92229499999998,ChIJuXPDksL1wokRy0go-NDPFxY
Bronx Park (River Park Playground),2,Yes,40.83705,-73.86543,ChIJBUEf6ovgwokRwlazSIxIpsk
Bronx Park (Rosewood Playground),2,Yes,40.83705,-73.86543,ChIJBUEf6ovgwokRwlazSIxIpsk
Bronx Park (Waring Playground),2,Yes,40.83705,-73.86543,ChIJBUEf6ovgwokRwlazSIxIpsk
Bronx River Parkway (Parque de los Ninos),2,Yes,40.94776,-73.83453,ChIJwxrhruqSwokRNr3sIuhgXu4
Brookville Park,4,Yes,40.65998,-73.74558,ChIJo9myzZxmwokRf8tp9AYNJFE
Brower Park,3,Yes,40.673588,-73.943146,ChIJW_THx4NbwokRNBtZNhJp9Js
Brownsville Playground,3,Yes,40.66725,-73.9072,ChIJE92ULl9cwokR7fXB3KDZ_Ko
Bushwick Playground & Pool,3,Yes,40.70181,-73.939476,ChIJ-3QCqflbwokRRB2-39l2v_c
Cadman Plaza & Brooklyn War Memorial,3,Yes,40.698277,-73.99149,ChIJF0uTxzdawokRY90anIEMYX4
Cadman Plaza & Brooklyn War Memorial,3,Yes,40.698277,-73.99149,ChIJF0uTxzdawokRY90anIEMYX4
Campiz Playground,3,Yes,40.713783,-73.95416999999998,ChIJFalKLl9ZwokRBbgRfV9luQg
Canarsie Park,3,Yes,40.630363,-73.892624,ChIJe6Gxc9RcwokR3nmTlX2LMIk
Capt. Rivera Playground,2,Yes,40.817833,-73.90677,ChIJPd5xrLb1wokR_ya1YK8BEnM
Capt. Tilly Park,4,Yes,40.71244,-73.7989,ChIJqdLwGeFgwokRl4dj3o97C9c
Carl Schurz Park,1,Yes,40.77513,-73.94369499999998,ChIJ42dOPLFYwokRR31RRn7rDDM
Carmansville Playground,1,Yes,40.82934,-73.94425,ChIJVfOYcIf2wokRZOHnnfezEQs
Carroll Park,3,Yes,40.68105,-73.995674,ChIJG95a21lawokRea-RZUlsxhQ
Carver Playground,3,No,40.680298,-73.92056,ChIJkaXX8W5cwokRbWw8ilCwTaU
Caserta Playground,2,Yes,40.837395,-73.85385,ChIJccnaKLj0wokREdCUKTE79qk
Castle Hill Playground,2,Yes,40.823414,-73.850914,ChIJhaLRT9D0wokR2LUzeXAWSuk
Castlewood Playground (PS 186),4,Yes,40.74966,-73.721434,ChIJ4a5wGymEbIcRiFRZzyA4X5k
Cedar Playground,2,Yes,40.85511,-73.91743000000002,ChIJs-rr7g30wokRZzdJaQdg4Og
Central Park (Ancient Playground),1,Yes,40.78087,-73.96119,ChIJa3Sxk5dYwokR-r1HwXcGrH8
Central Park (Arsenal),1,Yes,40.76744,-73.971436,ChIJ49l0jdD1wokRolt34tBgxoI
Central Park (Bethesda Terrace),1,,40.77384,-73.97086,ChIJEYYWppJYwokRUTul6ztwlJ0
Central Park (Conservatory Garden),1,Yes,40.79357,-73.95186600000002,ChIJi2bDZxz2wokRYtrmk91wrQk
Central Park (Dana Discovery Center),1,Yes,40.79706,-73.95142,ChIJqTjOsRv2wokRpTQaxNBKALY
Central Park (Heckscher Playground),1,Yes,40.768486,-73.9772,ChIJyVaLsvZYwokRIDVJ-GYzaCg
Central Park (Kerbs Boathouse),1,Yes,40.782864,-73.965355,ChIJ4zGFAZpYwokRGUGph3Mf37k
Central Park (Lasker),1,Yes,40.782864,-73.965355,ChIJ4zGFAZpYwokRGUGph3Mf37k
Central Park (Loeb Boathouse),1,Yes,40.782864,-73.965355,ChIJ4zGFAZpYwokRGUGph3Mf37k
Central Park (North Meadow Recreation Center),1,Yes,40.791134,-73.95968,ChIJhSkZ_J9YwokRuPP6zzavTbk
Central Park (Ramble),1,,40.776154,-73.96906,ChIJ_1f3U5JYwokRH1_PRd1eIrI
"Central Park (Sheep Meadow, Mineral Springs)",1,No,40.782864,-73.965355,ChIJ4zGFAZpYwokRGUGph3Mf37k
Central Park (Tavern on The Green),1,,40.77221,-73.977786,ChIJR85N-75ZwokRgaTKj1AmgvA
Central Park (Tennis Courts),1,Yes,40.789562,-73.96191,ChIJm17AB5pYwokRvAT6yLn623E
Central Park (The Great Hill),1,No,40.796894,-73.95895,ChIJUQj7pBj2wokRkE42LsmsmIM
Central Park (The Metropolitan Museum of Art),1,Yes,40.779438,-73.96324,ChIJb8Jg9pZYwokR-qHGtvSkLzs
Central Park (West 61st),1,No,40.771324,-73.985886,ChIJgZA2J19YwokRlM8A5UGOzDI
Central Park (Wollman Rink),1,Yes,40.782864,-73.965355,ChIJ4zGFAZpYwokRGUGph3Mf37k
Central Park Delacorte Comfort Station,1,Yes,40.782864,-73.965355,ChIJ4zGFAZpYwokRGUGph3Mf37k
Century Playground,3,Yes,40.576775,-73.970055,ChIJU6ONxkdEwokRgKaa5iCoQnM
Chelsea Park,1,Yes,40.75011,-74.00118,ChIJQ1pGK7dZwokRfVM1hZ1QmU4
Chelsea Recreation Center,1,Yes,40.748302,-74.002045,ChIJk_1kXbdZwokRTCNXO2NxYt8
Chester Playground,3,Yes,40.66866,-73.91190999999998,ChIJ78NzLl5cwokRaExoOtaDaLo
Claremont Park,2,Yes,40.840504,-73.90748,ChIJZbqMb0H0wokRKJ3PIMd-kD0
Claremont Park Playground,2,Yes,40.840502,-73.907481,ChIJX_ane5Q6w4ARTTe8KondetU
Clement Clark Moore Park,4,Yes,40.742176,-73.88252,ChIJM67XlqxfwokRyybUBAj-iak
Clintonville Playground (JHS 194),4,Yes,40.78315900000001,-73.807,ChIJn3LhCWiMOIgR3Rx6W6VV1PA
Col. Charles Young Playground,1,Yes,40.81959000000001,-73.93619,ChIJw3VA2df1wokRqNXEaFTut7Q
Coleman Square Playground,1,Yes,40.711205,-73.99365,ChIJr5WyOC9awokRXnoOef0xDrU
Colucci Playground,2,Yes,40.852837,-73.83474,ChIJe82E56mMwokR1P82IGVW-yQ
Coney Island,3,,40.574924,-73.98594,ChIJxYx4g8pFwokRxOWbtEQbr3o
Coney Island Beach,3,Yes,40.57213,-73.97933,ChIJRWwYoTREwokRtbWBEodfuS0
Conference House Park,5,,40.499416,-74.25168000000002,ChIJqVNqlb3Kw4kRhpOMG6975Mg
Cooper Park,3,Yes,40.71601500000001,-73.93727,ChIJU0PwIlNZwokRzqwxSCnttrg
Corona Golf Playground,4,Yes,40.747494,-73.85495999999998,ChIJd_8qRMVfwokRKJHst3GbH9Y
Corporal John A. Seravalli Playground,1,Yes,40.739086,-74.00492,ChIJdY3Rwr9ZwokR-69tc5yUGlA
Corporal Thompson Park,5,No,40.637917,-74.11849000000002,ChIJa65UdgtOwokRnPEzggw-TAs
Crotona Park (Martin Van Buren Playground),2,Yes,40.83531,-73.89584,ChIJGUCh6Vv0wokRluEWqvt9RXQ
Crotona Park (Playground of the Stars),2,Yes,40.83567100000001,-73.900639,ChIJb380HitoQBMRsIPgTq6VCwM
Crotona Park (Pool House),2,Yes,40.83994179999999,-73.8980562,ChIJb380HitoQBMRsIPgTq6VCwM
Crowley Playground,4,Yes,40.729458,-73.879944,ChIJpxe1J1pewokRLi8m5fdNSoE
Cunningham Park,4,Yes,40.736763,-73.76838000000002,ChIJs40Y2ZlhwokRKkRKsOXfG8E
Cypress Hills Park,3,Yes,40.68994,-73.87255,ChIJT1_NtMRdwokRmI0vB9PWJp4
Daniel M. O'Connell Playground,4,Yes,40.69996,-73.75825999999998,ChIJWxJ0wlxhwokRE0L9pzLyZ6w
De Witt Clinton Park,1,Yes,40.794968,-73.94585,ChIJ_XIefgP2wokRs_Y_gC2x-9o
Dematti Playground,5,Yes,40.61451,-74.07426,ChIJqT3Rf6tPwokRqP8Lf2kall0
Detective Keith L. Williams Park,4,Yes,40.702297,-73.78419,ChIJ44D9QSNhwokRQYyg3wCbb68
Devoe Park,2,Yes,40.86309,-73.9064,ChIJo8QZ9onzwokR1MbApd6Kjvg
Dimattina Playground,3,Yes,40.680313,-74.00220999999998,ChIJT491bV9awokRcqlUjY8WmEU
Ditmars Park Playground,4,Yes,40.772743,-73.89761999999997,ChIJA85TfnpfwokRu5MfdPTw_fA
Dr. Charles R. Drew Memorial Park,4,Yes,40.68095,-73.80331,ChIJD1VPcC9nwokR-1WsiYxEK2A
