FountainType,the_geom,Location,Place,BoroCode,Availability,Latitude,Longitude
F High Low,POINT (-73.98659181365889 40.60753207315604),Out in Open,Seth Low Playground/ Bealin Square,3,Active,40.607532073156,-73.98659181
C,POINT (-73.96862765692859 40.7480871896291),In Playground,Robert Moses Playground,1,Active,40.74808719,-73.96862766
D,POINT (-74.0003631604654 40.750036026114756),"Under Tree, Near Ballfield, Just Outside Playground",Chelsea Park,1,Active,40.75003603,-74.00036316
D,POINT (-73.97290101781864 40.72386196549101),"Just Outside Playground, Near Ballfield",John V. Lindsay East River Park,1,Active,40.72386197,-73.97290102
C,POINT (-73.94639259466328 40.69933443616386),"In Shade, In Playground",Charlie's Place,3,Active,40.69933444,-73.94639259
E Wheelchair,POINT (-73.92412001948213 40.703148631662614),Out in Open,Maria Hernandez Park,3,Active,40.70314863,-73.92412002
CS Concrete,POINT (-73.83541216458211 40.70989104598132),Just Outside Playground,Forest Park,4,Active,40.70989105,-73.83541216
C,POINT (-73.82189029787115 40.749009160447415),Out in Open,Kissena Corridor Park,4,Active,40.74900916,-73.82189029999998
A,POINT (-73.85043591195084 40.74628271582561),Under Tree,Flushing Meadows Corona Park,4,Active,40.74628272,-73.85043591
D,POINT (-73.75035291482422 40.594116304422464),Out in Open,Beach 17 Playground,4,Active,40.594116304422,-73.75035291
C,POINT (-74.19801006044196 40.5320604857313),Just Outside Playground,Richmond Parkway,5,Active,40.53206049,-74.19801006
C,POINT (-74.01152114448477 40.630582530228764),In Playground,Leif Ericson Park,3,Active,40.63058253,-74.01152114
A,POINT (-73.92149830053333 40.87145657354482),Near Ballfield,Inwood Hill Park,1,Active,40.87145657,-73.9214983
C,POINT (-73.97478960620937 40.7174350715035),"Under Tree, Near Ballfield",John V. Lindsay East River Park,1,Active,40.71743507,-73.97478961
C,POINT (-73.98647089425904 40.660201255822955),In Shade,Butterfly Gardens,3,Active,40.66020126,-73.98647089
C,POINT (-73.89967168190799 40.66257799498549),In Playground,Lion's Pride Playground,3,Active,40.66257799,-73.89967168
A,POINT (-73.95910814569388 40.73561179541555),"In Playground, Under Tree",Greenpoint Playground,3,Active,40.7356118,-73.95910815
A,POINT (-73.97152639520957 40.6660594118767),Out in Open,Prospect Park,3,Active,40.66605941,-73.9715264
A,POINT (-73.7941909938004 40.8624767457428),Out in Open,Pelham Bay Park,2,Active,40.86247675,-73.79419099
D,POINT (-73.95984131674064 40.710527932663624),"In Playground, Under Tree",La Guardia Playground,3,Active,40.71052793,-73.95984132
E,POINT (-73.95895649291961 40.57526977895059),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57526978,-73.95895649
C,POINT (-73.9803807041983 40.711203244737106),"Under Tree, Near Ballfield, Just Outside Playground",Corlears Hook Park,1,Active,40.71120324,-73.9803807
D,POINT (-73.76275009986881 40.59254717374473),In Shade,Beach 30th Street Playground,4,Active,40.59254717,-73.76275009999998
A,POINT (-73.87824711127223 40.89593290170336),Near Ballfield,Van Cortlandt Park,2,Active,40.8959329,-73.87824711
A,POINT (-73.91959306528246 40.780270317271665),"Out in Open, Under Tree, In Shade",Astoria Park,4,Active,40.78027032,-73.91959307
D,POINT (-74.06301212593604 40.59243802980647),Just Outside Playground,Franklin D. Roosevelt Boardwalk and Beach,5,Active,40.59243803,-74.06301213
